id,lastpage,study,vig1rep1,vig1rep2,vig1eve11,vig1eve12,vig1eve21,vig1eve22,vig1def1,vig1def2,vig1cha1,vig1cha2,vig1cha3,vig1com1,vig1com2,vig1com3,vig1qua1,vig1qua2,vig1qua3,vig2rep1,vig2rep2,vig2rep3,vig2rep4,vig2eve1,vig2eve2,vig2eve3,vig2eve4,vig2def1,vig2def2,vig2def3,vig2def4,vig2cha1,vig2cha2,vig2cha3,vig2cha4,vig2com1,vig2com2,vig2com3,vig2com4,vig2qua1,veg2qua2,vig2qua3,vig3rep1,vig3rep2,vig3eve1,vig3eve2,vig3def11,vig3def12,vig3def21,vig3def22,vig3cha1,vig3cha2,vig3cha3,vig3com11,vig3com12,vig3com13,vig3com21,vig3com22,vig3com23,vig3qua1,vig3qua2,vig3qua3,age,pol,gen,edu
1,11,6,,,,,,,,,,,,7,4,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,Y,,,,,,
3,37,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,N,Y,,55,5,1,10
4,11,6,,,,,,,,,,,,7,7,7,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,5,7,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
6,37,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,,,,,,,N,Y,,24,3,1,6
7,37,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,N,Y,,33,5,3,5
8,18,8,,,,,,,,,,,,,,,,,,,,,,6,6,1,7,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
9,37,1,7,2,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,5,1,6
10,28,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,,Y,,,,,,
11,37,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,N,Y,,43,5,1,6
12,37,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,,,,,,,N,Y,,52,4,3,7
13,28,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,Y,,,,,,
