id,study,rep1,rep2,eve11,eve12,eve21,eve22,def11,def12,def21,def22,cha1,cha2,cha3,com11,com12,com13,com21,com22,com23,qua1,qua2,age,pol,gen,edu
1,3,,,,,,,6,6,,,,,,,,,,,,N,N,24,6,1,
2,3,,,,,,,1,1,,,,,,,,,,,,N,N,24,5,3,
3,1,7,1,,,,,,,,,,,,,,,,,,N,N,74,5,1,7
4,2,,,7,6,,,,,,,,,,,,,,,,N,N,52,4,1,14
5,3,,,,,,,1,1,,,,,,,,,,,,N,N,48,6,1,7
6,5,,,,,,,,,,,1,1,1,,,,,,,N,N,30,5,3,10
7,2,,,7,7,,,,,,,,,,,,,,,,N,N,33,5,3,11
8,6,,,,,,,,,,,,,,1,1,5,,,,N,N,23,5,1,11
9,1,7,1,,,,,,,,,,,,,,,,,,N,N,29,4,3,12
10,2,,,6,7,,,,,,,,,,,,,,,,N,N,42,4,1,
11,5,,,,,,,,,,,7,7,7,,,,,,,N,N,33,6,3,11
12,7,,,,,,,,,,,,,,,,,6,6,6,N,N,46,2,3,
13,5,,,,,,,,,,,7,3,7,,,,,,,N,N,19,3,3,6
14,2,,,7,1,,,,,,,,,,,,,,,,N,N,57,4,3,7
15,5,,,,,,,,,,,7,1,1,,,,,,,N,N,53,7,1,
16,7,,,,,,,,,,,,,,,,,7,1,7,N,N,64,3,3,14
17,7,,,,,,,,,,,,,,,,,7,7,7,N,N,28,6,3,6
18,6,,,,,,,,,,,,,,1,1,1,,,,N,N,54,5,1,7
19,4,,,,,,,,,1,7,,,,,,,,,,N,N,31,5,3,12
20,7,,,,,,,,,,,,,,,,,1,1,7,N,N,38,5,1,
21,5,,,,,,,,,,,7,1,7,,,,,,,N,N,35,4,1,7
22,4,,,,,,,,,1,7,,,,,,,,,,N,N,22,4,3,7
23,4,,,,,,,,,6,4,,,,,,,,,,N,N,21,3,1,6
24,4,,,,,,,,,7,1,,,,,,,,,,N,N,45,5,1,
25,4,,,,,,,,,7,5,,,,,,,,,,N,N,61,6,3,
26,3,,,,,,,1,1,,,,,,,,,,,,N,N,34,4,3,10
27,4,,,,,,,,,7,1,,,,,,,,,,N,N,71,3,3,
28,6,,,,,,,,,,,,,,7,1,1,,,,N,N,34,6,3,
29,1,7,4,,,,,,,,,,,,,,,,,,N,N,64,5,1,7
30,5,,,,,,,,,,,7,6,6,,,,,,,N,N,40,5,1,7
31,2,,,7,7,,,,,,,,,,,,,,,,N,N,37,5,1,12
32,4,,,,,,,,,7,4,,,,,,,,,,N,N,20,5,1,
33,5,,,,,,,,,,,7,7,7,,,,,,,N,N,19,9,3,6
34,2,,,7,3,,,,,,,,,,,,,,,,N,N,71,7,3,
35,6,,,,,,,,,,,,,,2,2,3,,,,N,N,70,5,1,3
36,5,,,,,,,,,,,7,7,7,,,,,,,N,N,60,4,3,
37,2,,,2,2,,,,,,,,,,,,,,,,N,N,70,5,3,3
38,7,,,,,,,,,,,,,,,,,7,7,7,N,N,68,4,3,10
39,2,,,7,7,,,,,,,,,,,,,,,,N,N,72,3,3,
40,3,,,,,,,1,1,,,,,,,,,,,,N,N,50,5,3,7
41,4,,,,,,,,,7,7,,,,,,,,,,N,N,37,5,3,10
42,7,,,,,,,,,,,,,,,,,7,7,7,N,N,46,2,3,3
43,2,,,7,1,,,,,,,,,,,,,,,,N,N,41,5,3,7
44,7,,,,,,,,,,,,,,,,,7,7,7,N,N,38,9,1,11
45,5,,,,,,,,,,,7,7,7,,,,,,,N,N,54,5,1,
46,6,,,,,,,,,,,,,,7,1,1,,,,N,N,59,8,3,
47,4,,,,,,,,,1,7,,,,,,,,,,N,N,76,5,1,10
48,7,,,,,,,,,,,,,,,,,7,7,7,N,N,53,8,3,3
49,4,,,,,,,,,7,2,,,,,,,,,,N,N,54,5,3,7
50,2,,,7,1,,,,,,,,,,,,,,,,N,N,41,6,1,
51,5,,,,,,,,,,,1,6,7,,,,,,,N,N,32,7,3,6
52,1,7,1,,,,,,,,,,,,,,,,,,N,N,63,3,1,14
53,2,,,4,7,,,,,,,,,,,,,,,,N,N,33,3,1,6
54,6,,,,,,,,,,,,,,1,1,1,,,,N,N,58,5,1,3
55,5,,,,,,,,,,,7,7,7,,,,,,,N,N,43,7,3,7
56,5,,,,,,,,,,,7,7,7,,,,,,,N,N,23,3,1,7
57,7,,,,,,,,,,,,,,,,,7,7,7,N,N,72,7,1,10
58,3,,,,,,,1,1,,,,,,,,,,,,N,N,18,5,1,
59,5,,,,,,,,,,,7,7,7,,,,,,,N,N,70,6,3,14
60,1,1,1,,,,,,,,,,,,,,,,,,N,N,68,5,1,
61,2,,,2,2,,,,,,,,,,,,,,,,N,N,51,5,3,
62,1,5,7,,,,,,,,,,,,,,,,,,N,N,33,9,1,
63,3,,,,,,,1,1,,,,,,,,,,,,N,N,50,4,1,
64,4,,,,,,,,,6,7,,,,,,,,,,N,N,38,5,1,7
65,2,,,7,1,,,,,,,,,,,,,,,,N,N,68,1,3,3
66,2,,,7,1,,,,,,,,,,,,,,,,N,N,60,5,1,
67,6,,,,,,,,,,,,,,7,1,1,,,,N,N,58,4,3,
68,6,,,,,,,,,,,,,,1,1,1,,,,N,N,54,4,1,14
69,1,7,7,,,,,,,,,,,,,,,,,,N,N,69,3,1,7
70,6,,,,,,,,,,,,,,7,1,7,,,,N,N,19,5,3,6
71,2,,,1,1,,,,,,,,,,,,,,,,N,N,24,1,3,3
72,4,,,,,,,,,7,1,,,,,,,,,,N,N,50,4,3,6
73,3,,,,,,,1,1,,,,,,,,,,,,N,N,23,3,3,6
74,1,7,1,,,,,,,,,,,,,,,,,,N,N,58,3,3,
75,1,7,1,,,,,,,,,,,,,,,,,,N,N,19,5,1,
76,5,,,,,,,,,,,1,7,7,,,,,,,N,N,20,4,1,6
77,7,,,,,,,,,,,,,,,,,4,4,4,N,N,31,5,3,6
78,2,,,7,7,,,,,,,,,,,,,,,,N,N,72,5,1,
79,6,,,,,,,,,,,,,,7,1,4,,,,N,N,60,5,3,6
80,6,,,,,,,,,,,,,,1,1,1,,,,N,N,49,5,1,7
81,6,,,,,,,,,,,,,,1,1,1,,,,N,N,49,4,1,7
82,5,,,,,,,,,,,7,7,7,,,,,,,N,N,31,3,3,6
83,4,,,,,,,,,1,6,,,,,,,,,,N,N,50,9,1,
84,1,7,2,,,,,,,,,,,,,,,,,,N,N,19,5,1,6
85,1,7,1,,,,,,,,,,,,,,,,,,N,N,63,4,1,3
86,5,,,,,,,,,,,7,7,7,,,,,,,N,N,60,4,1,12
87,7,,,,,,,,,,,,,,,,,7,7,7,N,N,50,4,3,
88,4,,,,,,,,,7,7,,,,,,,,,,N,N,44,5,1,14
89,1,1,1,,,,,,,,,,,,,,,,,,N,N,33,3,3,
90,7,,,,,,,,,,,,,,,,,7,7,7,N,N,50,5,1,
91,7,,,,,,,,,,,,,,,,,7,7,7,N,N,24,5,1,
92,2,,,7,1,,,,,,,,,,,,,,,,N,N,74,4,1,14
93,6,,,,,,,,,,,,,,1,1,1,,,,N,N,39,3,1,
94,6,,,,,,,,,,,,,,6,1,1,,,,N,N,29,7,3,
95,7,,,,,,,,,,,,,,,,,1,1,2,N,N,51,4,1,3
96,4,,,,,,,,,7,7,,,,,,,,,,N,N,44,2,3,7
97,2,,,7,2,,,,,,,,,,,,,,,,N,N,56,5,1,
98,5,,,,,,,,,,,6,6,6,,,,,,,N,N,61,5,3,3
99,4,,,,,,,,,7,7,,,,,,,,,,N,N,49,2,3,
100,4,,,,,,,,,7,7,,,,,,,,,,N,N,32,7,3,14
101,1,7,1,,,,,,,,,,,,,,,,,,N,N,74,5,1,14
102,3,,,,,,,1,1,,,,,,,,,,,,N,N,75,5,3,7
103,7,,,,,,,,,,,,,,,,,7,7,7,N,N,35,3,1,12
104,7,,,,,,,,,,,,,,,,,7,1,1,N,N,41,6,1,3
105,4,,,,,,,,,7,2,,,,,,,,,,N,N,38,3,3,7
106,3,,,,,,,1,1,,,,,,,,,,,,N,N,22,5,1,6
107,6,,,,,,,,,,,,,,1,1,1,,,,N,N,67,5,3,
108,3,,,,,,,5,2,,,,,,,,,,,,N,N,20,5,1,6
109,2,,,7,1,,,,,,,,,,,,,,,,N,N,40,2,3,6
110,4,,,,,,,,,1,1,,,,,,,,,,N,N,22,6,1,6
111,7,,,,,,,,,,,,,,,,,1,1,7,N,N,41,5,1,14
112,6,,,,,,,,,,,,,,6,4,2,,,,N,N,29,5,1,3
113,3,,,,,,,1,1,,,,,,,,,,,,N,N,68,3,3,14
114,4,,,,,,,,,7,7,,,,,,,,,,N,N,25,3,3,6
115,2,,,7,1,,,,,,,,,,,,,,,,N,N,44,4,1,
116,2,,,7,4,,,,,,,,,,,,,,,,N,N,35,4,3,14
117,3,,,,,,,1,1,,,,,,,,,,,,N,N,65,4,1,
118,5,,,,,,,,,,,7,7,7,,,,,,,N,N,57,5,1,6
119,6,,,,,,,,,,,,,,1,1,1,,,,N,N,35,10,3,7
120,2,,,7,6,,,,,,,,,,,,,,,,N,N,19,5,3,6
121,4,,,,,,,,,7,7,,,,,,,,,,N,N,59,7,1,
122,1,7,4,,,,,,,,,,,,,,,,,,N,N,25,3,1,6
123,4,,,,,,,,,7,7,,,,,,,,,,N,N,36,6,3,7
124,6,,,,,,,,,,,,,,1,1,1,,,,N,N,24,8,3,3
125,7,,,,,,,,,,,,,,,,,7,7,7,N,N,63,5,1,3
126,1,7,1,,,,,,,,,,,,,,,,,,N,N,67,3,3,14
127,6,,,,,,,,,,,,,,7,1,1,,,,N,N,61,5,1,14
128,4,,,,,,,,,1,7,,,,,,,,,,N,N,42,5,1,
129,7,,,,,,,,,,,,,,,,,6,7,7,N,N,50,7,1,
130,2,,,7,7,,,,,,,,,,,,,,,,N,N,38,6,3,7
131,4,,,,,,,,,7,7,,,,,,,,,,N,N,43,3,3,
132,5,,,,,,,,,,,3,6,7,,,,,,,N,N,52,4,1,
133,2,,,7,4,,,,,,,,,,,,,,,,N,N,47,5,3,6
134,1,7,1,,,,,,,,,,,,,,,,,,N,N,32,6,1,
135,1,7,1,,,,,,,,,,,,,,,,,,N,N,26,5,3,10
136,7,,,,,,,,,,,,,,,,,7,1,7,N,N,36,1,3,
137,6,,,,,,,,,,,,,,7,2,2,,,,N,N,37,5,1,12
138,7,,,,,,,,,,,,,,,,,7,7,7,N,N,61,5,3,
139,6,,,,,,,,,,,,,,1,1,1,,,,N,N,52,6,3,
140,2,,,7,1,,,,,,,,,,,,,,,,N,N,25,1,3,12
141,3,,,,,,,1,1,,,,,,,,,,,,N,N,36,4,3,
142,4,,,,,,,,,7,7,,,,,,,,,,N,N,59,6,3,7
143,5,,,,,,,,,,,7,1,7,,,,,,,N,N,22,4,3,6
144,2,,,7,1,,,,,,,,,,,,,,,,N,N,29,8,1,7
145,8,,,,,1,7,,,,,,,,,,,,,,N,N,51,5,3,13
146,3,,,,,7,2,,,,,,,,,,,,,,N,N,42,5,3,14
147,8,,,,,7,1,,,,,,,,,,,,,,N,N,30,5,3,13
148,6,,,,,1,7,,,,,,,,,,,,,,N,N,57,5,3,13
149,2,,,,,7,2,,,,,,,,,,,,,,N,N,24,6,1,13
150,3,,,,,7,2,,,,,,,,,,,,,,N,N,29,5,3,13
151,8,,,,,1,7,,,,,,,,,,,,,,N,N,54,5,3,13
152,7,,,,,6,7,,,,,,,,,,,,,,N,N,47,5,1,13
153,2,,,,,7,1,,,,,,,,,,,,,,N,N,40,5,1,13
154,5,,,,,7,7,,,,,,,,,,,,,,N,N,23,6,1,13
155,6,,,,,6,3,,,,,,,,,,,,,,N,N,57,6,3,13
156,8,,,,,7,7,,,,,,,,,,,,,,N,N,47,8,1,13
157,1,,,,,1,7,,,,,,,,,,,,,,N,N,34,5,1,13
158,3,,,,,7,1,,,,,,,,,,,,,,N,N,67,7,3,13
159,3,,,,,1,7,,,,,,,,,,,,,,N,N,65,5,1,13
160,6,,,,,5,3,,,,,,,,,,,,,,N,N,32,5,3,13
161,4,,,,,7,1,,,,,,,,,,,,,,N,N,59,5,1,13
162,3,,,,,7,3,,,,,,,,,,,,,,N,N,31,2,1,13
163,6,,,,,7,2,,,,,,,,,,,,,,N,N,45,2,1,14
164,2,,,,,7,7,,,,,,,,,,,,,,N,N,26,5,3,13
